iter	Passed	Remaining
0	1	171
1	3	172
2	5	176
3	6	159
4	8	156
5	9	151
6	11	152
7	13	150
8	14	148
9	16	146
10	18	145
11	20	146
12	22	147
13	23	145
14	25	144
15	26	140
16	28	138
17	30	136
18	31	135
19	33	134
20	35	134
21	37	134
22	39	133
23	41	131
24	42	128
25	44	126
26	46	124
27	47	122
28	49	120
29	51	119
30	52	117
31	54	116
32	56	114
33	58	113
34	59	111
35	61	109
36	63	107
37	64	105
38	66	104
39	68	102
40	69	100
41	70	97
42	72	95
43	73	93
44	74	91
45	76	90
46	78	88
47	80	87
48	82	86
49	84	84
50	86	83
51	88	81
52	89	79
53	91	77
54	92	75
55	94	73
56	96	72
57	97	70
58	99	69
59	101	67
60	102	65
61	104	64
62	105	62
63	107	60
64	109	58
65	110	57
66	112	55
67	114	53
68	115	52
69	117	50
70	118	48
71	120	46
72	122	45
73	123	43
74	125	41
75	127	40
76	128	38
77	130	36
78	131	35
79	133	33
80	134	31
81	136	29
82	138	28
83	140	26
84	142	25
85	144	23
86	146	21
87	149	20
88	151	18
89	153	17
90	155	15
91	157	13
92	159	11
93	160	10
94	162	8
95	163	6
96	165	5
97	166	3
98	168	1
99	170	0
