iter	Passed	Remaining
0	140	140645
1	141	70782
2	142	47489
3	143	35819
4	145	28861
5	146	24187
6	147	20870
7	148	18365
8	149	16425
9	150	14872
10	151	13603
11	152	12540
12	153	11647
13	154	10874
14	155	10202
15	156	9617
16	157	9098
17	158	8633
18	159	8232
19	160	7867
20	161	7528
21	162	7225
22	163	6946
23	164	6692
24	165	6459
25	166	6241
26	167	6043
27	168	5861
28	170	5692
29	171	5534
30	172	5385
31	173	5242
32	174	5109
33	175	4987
34	176	4869
35	177	4756
36	178	4653
37	179	4554
38	181	4472
39	182	4385
40	183	4301
41	184	4218
42	185	4139
43	187	4064
44	188	3996
45	189	3928
46	190	3866
47	191	3802
48	192	3741
49	193	3682
50	195	3629
51	196	3583
52	197	3532
53	199	3486
54	200	3440
55	201	3393
56	202	3347
57	203	3303
58	205	3271
59	206	3232
60	207	3193
61	208	3155
62	209	3120
63	211	3095
64	213	3064
65	214	3031
66	215	2998
67	216	2966
68	217	2934
69	218	2903
70	219	2874
71	220	2845
72	221	2817
73	223	2790
74	224	2763
75	225	2739
76	226	2717
77	227	2694
78	229	2673
79	230	2651
80	231	2628
81	232	2605
82	233	2578
83	234	2558
84	236	2542
85	237	2521
86	238	2501
87	239	2481
88	240	2461
89	241	2441
90	242	2424
91	243	2406
92	245	2390
93	246	2375
94	247	2358
95	248	2341
96	249	2325
97	251	2310
98	252	2295
99	253	2280
100	254	2265
101	255	2252
102	257	2240
103	258	2226
104	259	2212
105	260	2199
106	262	2192
107	263	2180
108	265	2169
109	266	2157
110	268	2150
111	271	2149
112	272	2137
113	273	2127
114	274	2115
115	276	2103
116	277	2093
117	278	2081
118	279	2070
119	280	2058
120	281	2047
121	282	2036
122	284	2025
123	285	2016
124	286	2007
125	288	2001
126	289	1990
127	290	1980
128	291	1970
129	293	1961
130	294	1955
131	295	1945
132	296	1936
133	298	1926
134	299	1918
135	300	1910
136	301	1901
137	303	1893
138	304	1886
139	305	1877
140	306	1870
141	307	1859
142	308	1851
143	310	1843
144	311	1837
145	312	1829
146	313	1821
147	315	1813
148	316	1806
149	318	1803
150	319	1795
151	320	1788
152	321	1781
153	322	1773
154	323	1765
155	325	1758
156	326	1753
157	327	1747
158	329	1742
159	331	1740
160	332	1733
161	333	1726
162	334	1720
163	336	1713
164	337	1707
165	338	1701
166	339	1694
167	340	1688
168	342	1682
169	343	1677
170	345	1675
171	346	1669
172	348	1664
173	349	1659
174	351	1655
175	352	1650
176	353	1645
177	355	1640
178	356	1634
179	357	1629
180	358	1623
181	359	1617
182	361	1613
183	362	1608
184	363	1602
185	364	1596
186	365	1591
187	367	1587
188	368	1582
189	370	1578
190	371	1574
191	372	1569
192	374	1564
193	375	1561
194	376	1555
195	378	1551
196	379	1546
197	380	1541
198	382	1539
199	384	1536
200	385	1532
201	387	1528
202	388	1524
203	389	1519
204	390	1515
